"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"133.559,19";
"01/2022";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"507.600,00";
"01/2022";"10 - Saúde";"121 - Planejamento e orçamento";"73.700,00";"455,21";"455,21";"307.512,88";
"01/2022";"10 - Saúde";"846 - Outros encargos especiais";"1.065.949.194,00";"82.811.723,22";"82.810.192,80";"41.900,20";
"01/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"2.095.967,56";"39,33";"0,00";"2.700,00";
"01/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"0,00";"0,00";"0,00";"17.477.172,61";
"01/2022";"10 - Saúde";"124 - Controle interno";"25.000,00";"0,00";"0,00";"507.130,33";
"01/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"0,00";
"01/2022";"10 - Saúde";"131 - Comunicação social";"20.000.000,00";"0,00";"0,00";"4.406.611,08";
"01/2022";"10 - Saúde";"126 - Tecnologia da informação";"49.774.869,84";"12.105,32";"12.105,32";"13.272.613,40";
"01/2022";"10 - Saúde";"512 - Saneamento básico urbano";"24.625,09";"2.610,98";"2.610,98";"324.799,70";
"01/2022";"10 - Saúde";"304 - Vigilância sanitária";"39.860.629,94";"547.405,70";"492.955,02";"550.277,04";
"01/2022";"10 - Saúde";"511 - Saneamento básico rural";"1.738.536,83";"155.716,45";"0,00";"852.289,62";
"01/2022";"10 - Saúde";"128 - Formação de recursos humanos";"120.103.622,41";"55.874.255,85";"7.410.981,02";"54.279.969,94";
"01/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"3.017.992.395,72";"341.442.509,29";"246.083.819,01";"588.538.544,60";
"01/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.475.701,08";"138.963,76";"138.963,76";"673.375,03";
"01/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.211.131,79";"5.864,17";"1.758,08";"2.211.625,45";
"01/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"150.037.727,62";"17.077.241,07";"5.226.673,20";"36.800.248,28";
"01/2022";"10 - Saúde";"571 - Desenvolvimento científico";"28.669.315,56";"5.845.067,60";"681.714,43";"15.979.753,13";
"01/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"7.145.580.171,68";"412.989.340,81";"363.406.284,06";"656.916.475,38";
"01/2022";"10 - Saúde";"301 - Atenção básica";"2.206.540.175,09";"1.434.603.277,41";"1.206.927.652,49";"795.916.172,32";
"01/2022";"10 - Saúde";"122 - Administração geral";"5.738.882.270,29";"538.289.408,10";"190.556.907,29";"1.013.765.046,36";
"01/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"7.958.171.350,20";"3.798.209.557,22";"3.767.180.875,84";"1.042.030.741,56";
"02/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"4.097.357,94";"811.585,31";"0,00";"811.585,31";
"02/2022";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"79.629.972,46";"79.631.476,40";"11.292,60";
"02/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"11.000,00";"0,00";"0,00";"0,00";
"02/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"3.739.450,98";"0,00";"0,00";"3.839.519,70";
"02/2022";"10 - Saúde";"306 - Alimentação e nutrição";"330,09";"330,09";"330,09";"315.228,00";
"02/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.247.550,03";"762.252,79";"762.252,79";"46.155,37";
"02/2022";"10 - Saúde";"121 - Planejamento e orçamento";"70.000,00";"78.341,60";"1.394,99";"0,00";
"02/2022";"10 - Saúde";"131 - Comunicação social";"0,00";"0,00";"0,00";"17.624.489,18";
"02/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"4.983.615,76";"1.051.300,72";"151.384,40";"92.004,51";
"02/2022";"10 - Saúde";"511 - Saneamento básico rural";"4.882.205,41";"756.578,58";"718.123,89";"15.170.538,43";
"02/2022";"10 - Saúde";"512 - Saneamento básico urbano";"63.699,82";"20.463,03";"19.615,38";"19.644.758,28";
"02/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"322.256.165,98";"90.405.479,05";"53.254.867,01";"22.304.775,00";
"02/2022";"10 - Saúde";"126 - Tecnologia da informação";"14.019.716,84";"2.343.279,37";"2.060.659,09";"26.511.133,59";
"02/2022";"10 - Saúde";"571 - Desenvolvimento científico";"78.751.104,11";"14.143.291,28";"7.762.585,93";"20.272.134,04";
"02/2022";"10 - Saúde";"304 - Vigilância sanitária";"88.203.174,67";"41.933.324,28";"41.341.930,88";"4.567.954,24";
"02/2022";"10 - Saúde";"122 - Administração geral";"162.055.700,92";"559.468.527,79";"569.222.191,36";"617.602.390,82";
"02/2022";"10 - Saúde";"128 - Formação de recursos humanos";"126.343.611,44";"118.323.923,11";"116.192.731,71";"16.135.089,30";
"02/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"1.241.508.151,07";"1.203.654.230,51";"1.232.588.192,76";"1.352.993.146,35";
"02/2022";"10 - Saúde";"301 - Atenção básica";"2.486.774.963,11";"2.429.886.998,21";"2.432.541.358,24";"349.621.173,56";
"02/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.644.491.945,75";"477.541.729,03";"451.533.666,10";"549.678.715,52";
"02/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.652.265.326,58";"4.498.196.670,96";"4.438.072.422,40";"1.269.179.178,39";
"02/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"5.073.623,68";"1.019.801,22";"435.060,64";"1.745.285,64";
"03/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"22.000,00";"7.863,16";"5.814,49";"2.799,72";
"03/2022";"10 - Saúde";"306 - Alimentação e nutrição";"1.065.660,70";"13.779,70";"13.779,70";"299.025,00";
"03/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"15.000,00";"963.164,65";"1.774.749,96";"195.205,26";
"03/2022";"10 - Saúde";"121 - Planejamento e orçamento";"7.441.518,00";"5.505.687,53";"79.302,14";"1.500.000,00";
"03/2022";"10 - Saúde";"846 - Outros encargos especiais";"25.000.000,00";"82.017.661,46";"82.016.465,38";"5.646,30";
"03/2022";"10 - Saúde";"131 - Comunicação social";"0,00";"1.938.706,88";"4.921,00";"4.665.236,19";
"03/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"14.740.351,85";"16.309.833,56";"14.559.833,56";"39.103.974,55";
"03/2022";"10 - Saúde";"128 - Formação de recursos humanos";"34.120.845,64";"90.605.682,18";"117.837.423,17";"6.213.159,61";
"03/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.271.726,57";"2.785.465,51";"2.317.067,86";"1.061.097,70";
"03/2022";"10 - Saúde";"304 - Vigilância sanitária";"3.067.641,93";"22.213.489,56";"22.239.458,74";"205.715,77";
"03/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"624.027,35";"1.800.854,55";"1.120.233,32";"506.525,07";
"03/2022";"10 - Saúde";"511 - Saneamento básico rural";"4.593.693,80";"2.409.900,93";"1.136.200,38";"13.225.971,47";
"03/2022";"10 - Saúde";"126 - Tecnologia da informação";"16.329.931,50";"10.596.489,44";"4.198.393,31";"12.192.778,81";
"03/2022";"10 - Saúde";"512 - Saneamento básico urbano";"787.619,07";"174.459,08";"174.870,71";"19.981.251,75";
"03/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.429.407.721,74";"829.115.589,65";"759.852.336,64";"817.123.811,17";
"03/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.191.050,73";"1.055.062,58";"1.050.558,46";"560.203,83";
"03/2022";"10 - Saúde";"301 - Atenção básica";"3.339.044.161,19";"2.470.166.141,22";"2.478.401.300,91";"408.722.557,93";
"03/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"- 80.139.089,27";"154.002.524,11";"162.863.565,48";"8.865.547,86";
"03/2022";"10 - Saúde";"122 - Administração geral";"171.955.591,87";"579.510.912,67";"573.434.501,26";"46.843.454,21";
"03/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"1.240.238.577,58";"1.209.234.722,81";"1.088.639.073,34";"296.108.951,72";
"03/2022";"10 - Saúde";"571 - Desenvolvimento científico";"27.127.070,33";"25.981.666,03";"15.927.316,42";"20.867.687,99";
"03/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"930.617.038,49";"4.692.411.172,49";"4.667.471.542,27";"433.553.898,04";
"04/2022";"10 - Saúde";"124 - Controle interno";"2.000.000,00";"1.386,80";"1.386,80";"0,00";
"04/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"9.000,00";"811.585,31";"0,00";"0,00";
"04/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"6.911.572,41";"5.048.438,83";"1.917.341,37";"659.272,34";
"04/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"11.064.126,31";"1.776.661,77";"787.525,00";"7.610.186,24";
"04/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"152.000,00";"11.295,67";"13.344,34";"0,00";
"04/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"681.728,71";"1.983.384,87";"1.850.115,29";"9.371,50";
"04/2022";"10 - Saúde";"126 - Tecnologia da informação";"65.927.356,18";"11.852.775,95";"12.046.101,77";"13.778.909,03";
"04/2022";"10 - Saúde";"306 - Alimentação e nutrição";"24.801.000,00";"24.572.881,00";"23.521.000,00";"3.810.594,00";
"04/2022";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"10.013,93";"5.512.676,64";"8.428.286,00";
"04/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.062.437,82";"961.857,17";"961.167,29";"3.338,64";
"04/2022";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"82.082.663,16";"82.083.859,24";"0,00";
"04/2022";"10 - Saúde";"131 - Comunicação social";"32.986.843,97";"2.853.588,96";"4.442.602,97";"7.916.238,89";
"04/2022";"10 - Saúde";"304 - Vigilância sanitária";"10.772.291,00";"29.759.940,06";"29.570.051,02";"226.644,65";
"04/2022";"10 - Saúde";"511 - Saneamento básico rural";"14.557.422,52";"2.196.085,97";"2.740.806,07";"9.870.151,03";
"04/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.397.704.004,01";"980.327.680,47";"903.554.604,42";"317.918.871,16";
"04/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"365.914.343,20";"137.977.368,77";"143.841.045,70";"7.004.727,57";
"04/2022";"10 - Saúde";"128 - Formação de recursos humanos";"493.283.449,98";"126.038.439,45";"133.204.889,03";"2.962.343,60";
"04/2022";"10 - Saúde";"512 - Saneamento básico urbano";"18.907.067,92";"191.743,33";"185.003,42";"11.195.462,28";
"04/2022";"10 - Saúde";"571 - Desenvolvimento científico";"112.708.573,19";"76.803.533,45";"70.802.321,85";"26.683.492,65";
"04/2022";"10 - Saúde";"301 - Atenção básica";"4.919.952.113,15";"2.156.624.442,36";"2.160.441.971,96";"216.408.317,85";
"04/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"587.943.825,47";"1.201.626.883,30";"1.310.002.003,31";"289.641.089,06";
"04/2022";"10 - Saúde";"122 - Administração geral";"320.586.369,53";"604.006.853,49";"596.831.206,23";"41.742.888,53";
"04/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"11.101.670.541,81";"4.692.400.695,15";"4.685.704.182,42";"280.792.407,80";
"05/2022";"10 - Saúde";"846 - Outros encargos especiais";"- 3.786.148,11";"81.610.416,89";"81.610.416,89";"25.000,00";
