Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,Unnamed: 7,Ano
01/2014,10 - Saúde,243 - Assistência à criança e ao adolescente,"0,00","0,00","0,00","199.664,00",,2014
01/2014,10 - Saúde,541 - Preservação e conservação ambiental,"29.000,00","1.192,80","484,80","50.887,07",,2014
01/2014,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","13.903.809,36","25.436,01","25.436,01","4.036.643,34",,2014
01/2014,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","2.473.561,86",,2014
01/2014,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","623.379,67",,2014
01/2014,10 - Saúde,365 - Educação infantil,"0,00","0,00","0,00","233.279,51",,2014
01/2014,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","747.601,13","486.543,69","186.543,69","67.699,56",,2014
01/2014,10 - Saúde,126 - Tecnologia da informação,"90.160.027,76","21.394,95","21.394,95","24.215.645,92",,2014
01/2014,10 - Saúde,131 - Comunicação social,"50.498.644,25","0,00","0,00","3.508.345,15",,2014
01/2014,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"14.919.891,19","353.729,95","334.412,95","8.459.018,18",,2014
01/2014,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.128.551,27","1.130.820,77","1.086.816,34","146.461,70",,2014
01/2014,10 - Saúde,128 - Formação de recursos humanos,"357.740.355,49","18.519.985,13","18.360.908,09","18.726.919,23",,2014
01/2014,10 - Saúde,121 - Planejamento e orçamento,"1.311.004,00","20.726,11","18.221,16","268.112,76",,2014
01/2014,10 - Saúde,511 - Saneamento básico rural,"14.290.338,82","0,00","0,00","12.975.234,35",,2014
01/2014,10 - Saúde,124 - Controle interno,"190.000,00","190,15","190,15","192.165,21",,2014
01/2014,10 - Saúde,305 - Vigilância epidemiológica,"227.198.824,62","36.107.002,18","9.160.499,94","149.683.608,91",,2014
01/2014,10 - Saúde,571 - Desenvolvimento científico,"52.837.099,79","6.683.690,12","5.579.905,33","9.603.490,36",,2014
01/2014,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","19.727.311,55",,2014
01/2014,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"490.538.078,34","39.328.037,34","38.575.934,91","873.448,79",,2014
01/2014,10 - Saúde,304 - Vigilância sanitária,"21.063.689,58","862.732,51","821.310,82","3.468.984,74",,2014
01/2014,10 - Saúde,125 - Normatização e fiscalização,"12.456.072,41","386.372,36","386.372,36","1.294.558,25",,2014
01/2014,10 - Saúde,512 - Saneamento básico urbano,"12.000,00","1.180,70","1.180,70","19.722.320,94",,2014
01/2014,10 - Saúde,303 - Suporte profilático e terapêutico,"868.597.969,85","203.482.586,51","69.811.421,74","220.251.262,91",,2014
01/2014,10 - Saúde,122 - Administração geral,"8.194.061.828,64","766.688.216,33","757.313.132,36","187.393.909,96",,2014
01/2014,10 - Saúde,301 - Atenção básica,"1.844.438.239,48","1.077.912.836,75","1.077.379.320,40","300.606.943,46",,2014
01/2014,10 - Saúde,423 - Assistência aos povos indígenas,"714.281.756,47","12.810.507,24","12.432.854,71","23.507.960,46",,2014
01/2014,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"3.790.795.293,34","3.091.837.400,45","3.059.331.613,11","424.995.685,68",,2014
02/2014,10 - Saúde,243 - Assistência à criança e ao adolescente,"0,00","0,00","0,00","5.000,00",,2014
02/2014,10 - Saúde,124 - Controle interno,"24.144,49","3.649,40","3.649,40","64.034,40",,2014
02/2014,10 - Saúde,183 - Informação e inteligência,"0,00","0,00","0,00","9.868.491,98",,2014
02/2014,10 - Saúde,541 - Preservação e conservação ambiental,"32.500,00","12.232,20","12.940,20","320.393,90",,2014
02/2014,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","24.489.533,36","3.392.228,49","3.390.257,89","5.087.979,73",,2014
02/2014,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"37.294.186,49","141.558,38","160.875,38","19.245.000,96",,2014
02/2014,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","369.569,54","265.317,87","565.317,87","691.162,13",,2014
02/2014,10 - Saúde,511 - Saneamento básico rural,"7.625.105,81","0,00","0,00","7.586.036,73",,2014
