Data;População Total Brasileira (Indivíduos);PIB (R$);Taxa de Desocupação (%);Gastos Públicos na Área da Saúde (R$) - Valor Liquidado;Gastos Públicos na Área da Saúde (R$) - Valor Pago;Mortalidade - Óbitos (Individuos)
2014-01;200.811.131;455.935,00;6,50;5.256.660.582,05;5.050.827.954,52;52784
2014-02;200.943.840;450.358,80;6,80;6.478.746.012,48;6.570.497.540,86;49817
2014-03;201.076.550;462.159,80;7,20;7.306.493.281,30;6.992.319.535,07;51482
2014-04;201.209.259;468.767,50;7,20;6.944.472.168,31;7.004.975.064,66;49974
2014-05;201.341.968;473.347,10;7,10;7.970.633.138,52;7.993.098.558,74;54971
2014-06;201.474.677;458.516,50;6,90;7.816.262.075,31;7.285.715.321,14;54835
2014-07;201.607.386;481.994,00;7,00;7.413.241.772,31;7.724.926.013,50;55585
2014-08;201.740.096;477.052,90;7,00;8.257.480.798,23;8.118.469.472,25;56708
2014-09;201.872.805;476.520,60;6,90;7.178.441.642,83;7.122.310.809,34;53332
2014-10;202.005.514;493.304,70;6,70;8.169.136.845,75;7.776.016.128,41;55256
2014-11;202.138.224;489.484,40;6,60;7.837.705.713,43;8.077.576.526,01;50147
2014-12;202.270.933;499.867,70;6,60;6.028.463.230,36;6.610.918.533,10;52097
2015-01;202.403.642;472.913,90;6,90;8.702.274.187,64;8.606.246.910,72;54621
2015-02;202.525.999;460.156,70;7,50;6.741.520.113,51;6.257.914.120,86;46892
2015-03;202.648.356;501.752,20;8,00;7.592.502.617,07;7.412.906.012,35;53669
2015-04;202.770.713;486.614,60;8,10;7.634.630.778,34;7.642.120.606,34;54998
2015-05;202.893.070;483.239,70;8,30;8.176.537.912,06;8.281.262.961,07;59348
2015-06;203.015.427;486.647,50;8,40;7.966.055.689,39;7.529.123.395,96;57501
2015-07;203.137.784;502.275,20;8,70;8.282.871.102,89;8.434.836.154,38;59728
2015-08;203.260.140;492.505,70;8,90;7.440.966.034,27;7.025.645.200,21;56747
2015-09;203.382.497;496.004,70;9,00;8.347.932.767,81;8.369.261.837,18;53996
2015-10;203.504.854;518.828,90;9,10;8.228.345.692,65;8.628.470.390,64;54898
2015-11;203.627.211;513.819,80;9,10;6.993.151.384,63;6.670.727.295,76;52552
2015-12;203.749.568;521.918,70;9,10;8.519.623.777,07;9.006.408.661,43;55241
2016-01;203.871.925;490.284,00;9,60;5.578.406.619,43;5.522.172.862,75;55621
2016-02;203.983.561;491.011,70;10,30;7.279.668.264,97;6.818.026.890,72;54214
2016-03;204.095.197;516.985,90;11,10;8.687.488.230,09;8.580.392.451,18;59507
2016-04;204.206.833;508.058,70;11,30;8.019.428.773,08;7.992.551.082,53;60092
2016-05;204.318.469;513.267,50;11,30;8.535.463.497,00;8.370.784.233,01;62056
2016-06;204.430.105;536.459,30;11,40;8.968.089.096,55;8.260.083.701,16;62516
2016-07;204.541.741;532.947,80;11,70;8.716.267.575,41;8.982.590.703,63;62811
2016-08;204.653.377;534.761,80;11,90;7.269.723.880,33;7.210.178.048,87;59463
2016-09;204.765.013;509.975,00;11,90;9.140.618.855,47;9.495.747.991,01;54970
2016-10;204.876.649;525.162,70;11,90;7.890.778.541,67;7.622.867.931,19;56985
2016-11;204.988.285;541.530,70;12,00;8.760.146.335,91;8.873.113.688,64;52997
2016-12;205.099.921;565.780,50;12,20;11.623.429.140,81;12.462.095.723,14;55007
2017-01;205.211.557;526.564,70;12,70;5.929.475.003,20;5.397.317.592,02;55352
2017-02;205.321.347;514.120,50;13,30;7.692.449.306,56;7.850.035.108,77;51438
2017-03;205.431.137;544.312,90;13,90;8.598.649.257,96;8.448.717.924,76;58354
2017-04;205.540.927;525.238,10;13,70;8.266.881.516,01;8.210.573.175,25;56796
2017-05;205.650.717;548.887,70;13,40;9.880.703.102,72;9.378.892.943,61;61476
2017-06;205.760.507;556.787,60;13,10;8.295.429.028,33;8.872.375.755,79;60936
2017-07;205.870.298;557.458,20;12,90;8.106.908.776,43;8.135.406.284,26;64040
2017-08;205.980.088;555.578,70;12,70;9.555.959.351,00;9.281.978.985,88;60459
2017-09;206.089.878;528.871,20;12,50;8.915.826.238,25;8.773.385.422,81;56584
2017-10;206.199.668;549.304,70;12,30;8.203.998.869,15;8.520.298.245,15;57589
2017-11;206.309.458;566.209,30;12,10;8.787.369.159,94;8.825.388.597,39;53761
2017-12;206.419.248;588.892,80;11,90;11.013.983.995,18;11.019.457.654,99;55606
2018-01;206.529.038;555.644,60;12,30;5.690.886.188,21;5.645.302.634,53;55126
2018-02;206.643.293;528.905,50;12,70;7.128.982.466,93;7.036.088.590,17;49568
2018-03;206.757.548;560.120,70;13,20;9.175.383.840,75;8.939.264.030,48;57691
2018-04;206.871.803;559.359,80;13,00;7.649.634.561,19;7.386.012.830,52;57202
2018-05;206.986.058;547.016,50;12,80;9.034.730.813,17;8.838.154.475,69;61105
2018-06;207.100.313;580.697,80;12,60;11.495.345.664,38;11.334.412.085,68;61964
2018-07;207.214.568;583.054,80;12,40;9.212.149.207,35;9.164.473.670,52;63850
2018-08;207.328.824;582.756,70;12,30;9.284.464.575,55;9.255.321.827,76;61941
2018-09;207.443.079;556.776,60;12,00;8.709.640.166,08;8.875.350.758,11;58485
2018-10;207.557.334;591.983,90;11,90;12.238.350.271,87;9.691.276.797,01;58018
2018-11;207.671.589;593.926,90;11,70;10.572.489.613,85;9.860.755.345,24;55386
2018-12;207.785.844;603.155,20;11,70;9.356.767.852,14;12.152.743.492,46;58688
2019-01;207.900.099;578.452,60;12,20;5.485.318.851,51;4.687.885.063,09;58723
2019-02;208.005.498;567.984,50;12,60;11.911.094.319,91;7.568.113.177,60;52389
2019-03;208.110.897;579.172,60;12,80;3.752.213.841,98;7.956.143.207,13;59732
2019-04;208.216.296;592.916,00;12,60;8.421.869.298,55;8.277.154.011,77;59820
2019-05;208.321.696;604.607,40;12,40;9.052.875.896,93;8.853.226.215,24;64414
2019-06;208.427.095;598.283,00;12,10;8.399.830.701,17;8.335.545.440,35;64128
2019-07;208.532.494;627.049,70;12,00;11.874.296.669,02;11.841.579.957,37;67383
2019-08;208.637.893;616.157,60;11,90;10.114.242.213,39;9.968.781.934,65;64262
2019-09;208.743.292;614.187,90;11,90;9.695.863.875,88;9.881.951.535,33;60935
2019-10;208.848.692;641.340,10;11,80;10.220.290.972,94;10.358.622.036,19;60261
2019-11;208.954.091;634.826,20;11,30;10.042.799.644,03;9.616.463.238,92;57233
2019-12;209.059.490;646.343,10;11,10;16.794.857.093,79;16.836.660.776,58;59319
2020-01;209.164.889;617.747,20;11,40;5.075.209.406,17;4.230.414.480,26;59388
2020-02;209.243.118;609.810,80;11,80;7.711.582.829,15;7.526.332.037,70;55659
2020-03;209.321.348;616.335,30;12,40;13.652.328.959,12;10.018.005.474,00;62383
2020-04;209.399.577;555.387,40;12,70;13.320.696.874,68;16.707.184.039,68;64550
2020-05;209.477.807;561.628,40;13,10;13.188.284.390,06;12.759.996.427,98;81525
2020-06;209.556.036;591.537,30;13,60;12.895.324.370,90;13.109.624.280,83;75603
2020-07;209.634.266;629.700,90;14,10;15.941.004.098,12;16.001.537.804,51;79873
2020-08;209.712.495;625.136,30;14,80;18.426.234.763,25;18.420.793.381,71;77435
2020-09;209.790.724;635.263,90;14,90;13.522.776.669,60;13.258.580.296,82;68988
2020-10;209.868.954;661.149,00;14,60;10.584.868.727,13;10.640.991.780,78;68472
2020-11;209.947.183;665.182,80;14,40;11.608.650.518,31;11.080.067.381,18;64951
2020-12;210.025.413;685.042,60;14,20;16.930.721.000,34;16.709.445.655,01;74977
2021-01;210.103.642;653.790,40;14,50;5.705.902.455,27;4.968.776.722,65;82131
2021-02;210.166.920;676.255,00;14,60;9.175.284.648,20;8.910.074.890,61;75073
2021-03;210.230.199;735.993,60;14,90;17.293.943.309,69;12.641.137.161,61;116927
